feature,importance
SHLT,0.067647375
EFFORT,0.05685775
fam_INW12,0.042242464
fam_INW13,0.03320283
PSYCHF,0.021093734
TR20,0.016620725
CONDE,0.015507684
DOCTIM,0.014566853
BEQ100,0.014292058
COG27,0.013689351
AGEM_B,0.0126585495
FAMR,0.011663324
JYEARS,0.0112309605
SSWRER,0.010914001
JCTEN,0.0108805215
DLRC,0.010103896
LIV75P,0.0099182995
JLTEN,0.009655213
MSTOT,0.009637885
DRINK,0.009466926
URBRUR,0.0094513185
WEIGHT,0.009433009
WTCRNH,0.009293241
OOPMD,0.009143451
LIVPAR,0.009143129
WTHH,0.009120609
JLIND,0.009076881
IMRC,0.008906234
ISRET,0.008854431
fam_K15NKID,0.008786142
WTRESP,0.008632856
FSIZE,0.008619382
LIVSIB,0.008573493
HEIGHT,0.008543995
JLOCC,0.008522769
SSWRNR,0.00851176
VIGACT,0.008457142
RETMON,0.0084318565
IWBEG,0.008386839
DIABE2,0.008360781
fam_KAEDUC_mean,0.008310294
WLIPRM,0.008287762
MLEN,0.008227016
LIV10P,0.008160744
SSWRXA,0.008160266
MCURLN,0.008089405
JLASTM,0.008080408
JMISS,0.007975548
JCOCC,0.007961099
MOMAGE,0.007909941
IPENA,0.0078034964
RETYR,0.0077742497
DRINKD,0.0076969806
JWEEKS,0.0076920087
CENDIV,0.0076696775
LIV75C,0.007593548
WGIHR,0.0075762933
fam_kid_avg_birth_year,0.00757181
HIBPE,0.007513224
EYEFR,0.007500457
LIV10R,0.0074993502
fam_K16NKID,0.007494286
LTCPRM,0.0074735065
WGIWK,0.007466996
LIVBRO,0.0074393665
DCCONT1,0.007418254
FINR,0.007327959
DADAGE,0.0073094387
HEARTE,0.007294521
SSWSER,0.0072164778
JLASTY,0.0072050234
JLOCCA,0.0071654553
LIV75R,0.007151561
LIVSIS,0.0071187033
PRPRM1,0.0070598843
DCBAL1,0.007057848
WORKLM,0.0069542993
fam_num_kids,0.0068994164
DBINSULN,0.0068265693
EYERT,0.006799194
IEARN,0.006796496
SER7,0.0065789106
fam_K16TCAMT_sum,0.0065250555
DIABF,0.0064720395
LIV75,0.0064530834
LIV8XC,0.0064217965
JNJOB,0.006421724
TOTMD,0.0064165895
LUNGF,0.0063949362
DBDIAGYR,0.006345325
CENREG,0.0061802845
PMWAIST,0.0061476147
BMI,0.005752992
HIBPE2,0.0056443727
DRINKN,0.0055428213
JLMIS,0.005073245
LTACTX,0.0049699564
BPPULS,0.004807529
DIAB,0.00466088
VP,0.004424169
wave,0.0021380233
